"Кулинарная книга 'Люблю готовить!'",343.64 грн,images/QqdAquwO1k.jpg,"Уютная и пухленькая кулинарная книга создана для записи самых вкусных рецептов :) Содержит более 150 листов(300 страниц)для записей. .Внутри книги 6 разделителей:- первое, -второе - закуски - выпечка - заготовки -десерты Есть конвертик для хранения вырезок и записок. Закрывается на резинку с пуговицей.Подобное описание и фото вышлю в личном сообщении(сбоку кнопочка 'сообщение') Рекомендации по уходу: Мои работы: альбомы, блокноты ,мамины шкатулки ,открытки изготовлены из материалов архивного качества-не содержат кислот и лигнина! Это означает,что альбомы не желтеют, не выгорают со временем, не портят фотографий. Но все же рекомендую соблюдать простые правила для хранения: не подвергать влажному воздействию (т.к.бумага может деформироваться), беречь от пыли!",100
"Кулинарная книга",549.82 грн,images/DF43L1zfCd.jpg,"Все самые вкусные рецепты всегда должны быть под рукой - сохранить их поможет вот такой кулинарный блокнот. Кулинарная книга формата А5, листы крепятся на кольцах, что позволит легко вытащить нужный лист или вставить дополнительные странички. В данной книге 80 (160 страниц) + 4 разделителя, но по Вашему желанию количество страниц и разделителей можно изменить. Печать страниц цветная, разделители также цветные, из более плотной бумаги. На форзацах есть дополнительные прозрачные кармашки, в которых также можно разместить черновики рецептов или рецепты, вырезанные из журналов. Композиция на обложке сделана с нуля, имитация деревянного забора, на котором располагается цветочная композиция с использованием разнообразного декора, в том числе вязаного декора ручной работы. Кулинарная книга - отличный подарок всем хозяюшкам! Рекомендации по уходу: Не подвергать воздействию воды, длительному воздействию прямых солнечных лучей.",101
"Блокнот для любимых рецептов",504 грн,images/X1q5eWTYQ8.jpg,"Кулинарный блокнот 'Любимые рецепты'. Обложка блокнота выполнена из двух видов хлопка. Внутри примерно 100 тематических листов тонированных в чае. Без разделителей. Рекомендации по уходу: Бережное использование вдали от влаги и отопительных приборов.",102
"Кулинарная книга",756.01 грн,images/gJLaeGt81H.jpg,"Кулинарная книга, очень уютная и аккуратная создана для записи самых вкусных рецептов :) Кулинарная книга сделана с нуля. Мягкая тканевая обложка из хлопка. Коптский переплёт. Внутри дизайнерские листы. Внутри блокнота 5 разделителей:- первые блюда -вторые блюда - салаты, закуски -мясные блюда - выпечка Кулинарная книга станет прекрасным подарком для любительницы, которая любит готовить, с радостью будет записывать свои кулинарные шедевры. Также для девочки, которая только начинает учиться готовить, в такую кулинарную книга она с радостью будет записывать рецепты. Для покупки нажмите на кнопку 'В корзину' и оформите заказ. А также, чтобы всегда быть в курсе всех новостей магазина и узнавать о новых работах - нажмите на кнопку 'Добавить в Круг' на панели слева.",103
"Кулинарная книга",,images/UEn7ANtLra.jpg,"Кулинарная книга станет уютным украшением вашей кухни, в ней будут только любимы и самые вкусные рецепты. Мягкая тканевая прошитая обложка, внутри линованные страничкидля записи рецептов, на форзацах кармашки. Украшена вязаными цветочками, декоративной ложечкой и чипбордом. Рекомендации по уходу: не хранить во влажном помещении",104
"Кулинарная книга 'Вкусы лета'",549.82 грн,images/40WRmF4s46.jpg,"Кулинарная книга из экокожи. Яркая, летняя, а главное - очень удобная. А удобна она тем, что внутри неё установлен кольцевой механизм, с помощью которого легко менять листочки местами, добавлять необходимые листочки. Например: вырезать из журнала понравившийся рецепт, проделать дырочки обычным дыроколом, который есть дома у каждого и добавить в кулинарную книгу и т.д..Сама кулинарная книга выполнена из эко-кожи, которую легко протереть мокрой тряпочкой, по мере загрязнения. Внутри есть также кармашки для различных бумажечек и рецептов. А также внутри книги красивые разделители. Рекомендации по уходу: ...",105
"Кулинарный блокнот 'Приходи на чашку чая'",412.37 грн,images/i3p9zg79na.jpg,"Выполнен с нуля на кольцах ,что позволяет добавлять и переставлять самостоятельно страницы.Внутри все необходимые разделители :супы,салаты,морепродукты,закуски,выпечка,детское,блюда из мяса,консервация,национальные блюда,постные блюда(надо уточнять у меня при заказе) и шпаргалки по граммам ,объёму. В блокноте окола 100 листов для записейв клетку. Формат а5.",106
"Кулинарная книга 'Голубика' (кулинарный блокнот)",,images/oYGlYVXV4S.jpg,"Кулинарная книга 'Голубика' для самых вкусных рецептов :) Обложка книги обтянута хлопком с синтепоном и украшена цветочной композицией, палочной натуральной корицы, металлическими подвесками, лентами и иллюстрациями. Книга завязывается на бант из ленты. Книга рецептов содержит 220 листов (440 страниц) в клетку с разделами: салаты, супы, вторые блюда и десерт. На каждый раздел отведено по 55 листов, каждый лист украшен в уголке вензелем. Крепление на кольцах позволит легко вынимать или добавлять листы и вставлять в книгу вырезки из журналов. На форзаце есть кармашек. Кулинарный блокнот станет приятным и полезным подарком для тех, кто любит готовить. Для подруги, мамы, бабушки или дочки ко дню рождения, новому году, 8 марта :) -------------------------------- Список всех моих работ в наличии www.livemaster.ru/tigrrra?v=1&sortitems=0&cat=0&cid=0 Для обсуждения деталей работы или оформления заказа нажмите кнопку 'Сообщение мастеру'. Рекомендации по уходу: Кулинарный блокнот беречь от воды, хранить бережно :)",107
"Кулинарная книга 'Солнечная' (кулинарный блокнот)",595.64 грн,images/bsoaN4aCMl.jpg,"Кулинарная книга 'Солнечная' для самых вкусных рецептов :) Обложка книги обтянута хлопком с синтепоном и украшена цветочной композицией, палочной натуральной корицы, металлическими подвесками, лентами и иллюстрациями. Книга завязывается на бант из ленты. Книга рецептов содержит 220 листов (440 страниц) в клетку с разделами: салаты, супы, вторые блюда и десерт. На каждый раздел отведено по 55 листов, каждый лист украшен в уголке вензелем. Крепление на кольцах позволит легко вынимать или добавлять листы и вставлять в книгу вырезки из журналов. На форзаце есть кармашек. Кулинарный блокнот станет приятным и полезным подарком для тех, кто любит готовить. Для подруги, мамы, бабушки или дочки ко дню рождения, новому году, 8 марта :) -------------------------------- Список всех моих работ в наличии www.livemaster.ru/tigrrra?v=1&sortitems=0&cat=0&cid=0 Для обсуждения деталей работы или оформления заказа нажмите кнопку 'Сообщение мастеру'. Рекомендации по уходу: Кулинарный блокнот беречь от воды, хранить бережно :)",108
"Кулинарная книга на кольцах",412.37 грн,images/6BBmrWfKS0.jpg,"Кулинарная книга на кольцах для записи любимых рецептов. Формат книги - А5 (15,5*22 см). Мягкая обложка мягкая (синтепон под хлопком). Обложка с тематическим декором. Пять разделителей - можно вписать от руки - какие блюда будут в данном разделе - для этого предусмотрено место для записи. В книге 50 страниц, каждый раздел - своего цвета. На форзацах есть кармашек из ткани. Для удобства хранения книга завязывается на хлопковую тесьму. Благодаря креплению на кольцах - в книгу всегда можно добавить новые листы или прекрасным подарком для любимой подруги, девушки или жены, мамы, бабушки - которые любят готовить. Надпись на книге на английском переводится как - 'посмотри, что я умею' и 'с удовольствием'. Рекомендации по уходу: Дарить с любовью",109
